advertiser_id,advertiser_name,Creative_Type,creative_id,creative_name,raw OCR,Creative_Message,Size,CTA,joy_score,sorrow_score,surprise_score,label_score,label_detection,Assets,Background_Color,Product,# of products,Material,Person,Audience,Theme
5993807,David Yurman,IMAGE,94120309,STAT_BAN-MultiMetalRings_EN_300x250_v1_LP078.jpg,DAVID YURMANN SHOP NOW,DAVID YURMAN SHOP NOW,300x250,SHOP NOW,NA,NA,NA,0.871314049,"Jewellery ,Fashion accessory","Ring, Tree Silhouette",White,Ring,3,"Stainless Steel, Silver, Stone",N,Men,Product
5993807,David Yurman,IMAGE,94120312,STAT_BAN-MultiMetalRings_EN_300x600_v1_LP078.jpg,DAVID YURMAN SHOP NoW,DAVID YURMAN SHOP NOW,300x600,SHOP NOW,NA,NA,NA,0.896029562,"Still life photography ,Ring","Ring, Sand",Gray,Ring,1,"Silver, Gold",N,Men,Product
5993807,David Yurman,IMAGE,94120318,STAT_BAN-SilverMulti_EN_300x440_v1_LP078.jpg,DAVID YURMAN SHOP NOW,DAVID YURMAN SHOP NOW,300x440,SHOP NOW,NA,NA,NA,0.859615505,"Font ,Text","Bracelet, Ring, Sand",Gray,"Bracelet, Ring",2,Silver,N,Men,Product
5993807,David Yurman,IMAGE,94120372,STAT_BAN-SilverNecklace _EN_160x600_v1_LP078.jpg,DAVID YURMAN SHOP NOW,DAVID YURMAN SHOP NOW,160x600,SHOP NOW,NA,NA,NA,0.905160916,"Body jewelry ,Necklace ,Fashion accessory ,Chain ,Jewellery","Necklace, Pendant, Sand",Gray,Necklace,1,Silver,N,Men,Product
5993807,David Yurman,IMAGE,94158324,STAT_BAN-MultimetalNecklaces_EN_300x600_v1_LP073.jpg,DAVID YURMAN SHOP NOW,DAVID YURMAN SHOP NOW,300x600,SHOP NOW,NA,NA,NA,0.948065797,"Locket ,Pendant ,Necklace ,Jewellery ,Fashion accessory ,Body jewelry","Necklace, Sand",Gray,Necklace,1,"Silver, Stone",N,Men,Product
5993807,David Yurman,IMAGE,94172916,STAT_BAN-MultiMetalRings_EN_600x800_v1_LP078.jpg,DAVID YUR MAN SHOP THE SHIPWRECK COLLECTION,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,600x800,SHOP THE SHIPWRECK COLLECTION,NA,NA,NA,0.881154776,Text,"Ring, Sand",Gray,Ring,3,"Silver, Gold",N,Men,Product
5993807,David Yurman,IMAGE,94198382,STAT_BAN-GoldRing_EN_300x50_v1_LP073.jpg,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,300x50,SHOP THE SHIPWRECK COLLECTION,NA,NA,NA,0.967090786,"Font ,Text","Gold Ring, Sand",Dark Gray,Ring,1,Gold,N,Men,Product
5993807,David Yurman,IMAGE,94198391,STAT_BAN-SilverBracelet_EN_300x440_v1_LP073.jpg,DAVID YURMAN SHOP NOw,DAVID YURMAN SHOP NOW,300x440,SHOP NOW,NA,NA,NA,0.921822488,Text,"Chain Bracelet, Sand",Gray,Bracelet,1,Silver,N,Men,Product
5993807,David Yurman,IMAGE,94198400,STAT_BAN-SilverNecklace _EN_160x600_v1_LP073.jpg,DAVID YURMAN SHOP NOW,DAVID YURMAN SHOP NOW,160x600,SHOP NOW,NA,NA,NA,0.905160916,"Body jewelry ,Necklace ,Fashion accessory ,Chain ,Jewellery","Necklace, Pendant, Sand",Gray,Necklace,1,Silver,N,Men,Product
5993807,David Yurman,IMAGE,94200980,STAT_BAN-GoldRing_EN_320x50_v1_LP073.jpg,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,DAVID YURMAN SHOP THE SHIPWRECK COLLECTION,320x50,SHOP THE SHIPWRECK COLLECTION,NA,NA,NA,0.964943141,"Font ,Text","Gold Ring, Sand",Dark Gray,Ring,1,Gold,N,Men,Product
